                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.33843,                0.25658,                0.97848,                0.99959,                      1,                  0.995,                 0.9923,                0.19455,                   0.13,                0.78491,             0.00029971,             0.00029971,             0.00029971
                     70,                  0.343,                0.25887,                0.98679,                0.99845,                      1,                  0.995,                0.99256,                0.18172,                0.12449,                0.78016,             0.00028346,             0.00028346,             0.00028346
                     71,                0.34607,                0.25194,                0.99383,                0.99944,                      1,                  0.995,                 0.9926,                0.19032,                0.12535,                0.78291,             0.00026756,             0.00026756,             0.00026756
                     72,                0.33107,                0.24987,                0.98376,                0.99952,                      1,                  0.995,                0.99267,                0.19173,                0.12423,                0.78228,             0.00025201,             0.00025201,             0.00025201
                     73,                0.33158,                 0.2456,                0.98659,                0.99957,                      1,                  0.995,                0.99204,                 0.1963,                0.12787,                0.78309,             0.00023684,             0.00023684,             0.00023684
                     74,                0.33038,                0.24898,                0.98291,                0.99909,                      1,                  0.995,                 0.9929,                0.17778,                0.11953,                0.78128,             0.00022206,             0.00022206,             0.00022206
                     75,                0.32994,                0.24302,                0.97301,                0.99949,                      1,                  0.995,                0.99241,                0.17486,                0.11973,                0.78237,             0.00020769,             0.00020769,             0.00020769
                     76,                0.33356,                0.24441,                0.98736,                 0.9994,                      1,                  0.995,                0.99202,                0.18598,                0.12433,                0.78182,             0.00019373,             0.00019373,             0.00019373
                     77,                0.32217,                 0.2414,                0.97943,                0.99952,                      1,                  0.995,                0.99247,                0.17861,                0.11861,                0.78164,              0.0001802,              0.0001802,              0.0001802
                     78,                0.32114,                0.24266,                0.97719,                0.99954,                      1,                  0.995,                0.99325,                0.18099,                 0.1164,                0.78224,             0.00016712,             0.00016712,             0.00016712
                     79,                0.31709,                0.24097,                0.97747,                0.99953,                      1,                  0.995,                0.99304,                0.17551,                0.11177,                0.77756,             0.00015449,             0.00015449,             0.00015449
                     80,                0.31453,                0.23973,                0.97868,                0.99958,                      1,                  0.995,                0.99302,                0.18404,                 0.1134,                0.77915,             0.00014234,             0.00014234,             0.00014234
                     81,                0.31124,                0.23995,                0.97055,                0.99948,                      1,                  0.995,                0.99292,                0.16688,                0.11021,                0.77646,             0.00013067,             0.00013067,             0.00013067
                     82,                0.31038,                0.23346,                0.97495,                0.99955,                      1,                  0.995,                 0.9933,                0.17785,                0.11061,                0.77859,             0.00011949,             0.00011949,             0.00011949
                     83,                0.31209,                0.23061,                 0.9704,                0.99956,                      1,                  0.995,                0.99303,                0.18192,                 0.1134,                0.78089,             0.00010882,             0.00010882,             0.00010882
                     84,                0.30634,                0.22926,                0.96685,                0.99958,                      1,                  0.995,                0.99339,                 0.1576,                0.10463,                0.77594,             9.8666e-05,             9.8666e-05,             9.8666e-05
                     85,                0.30664,                0.23336,                0.96274,                0.99955,                      1,                  0.995,                0.99336,                0.16378,                0.10799,                0.77708,             8.9035e-05,             8.9035e-05,             8.9035e-05
                     86,                0.30289,                0.22603,                0.96741,                0.99958,                      1,                  0.995,                0.99356,                0.17981,                0.11233,                0.78074,              7.994e-05,              7.994e-05,              7.994e-05
                     87,                0.30836,                0.22777,                0.96487,                0.99957,                      1,                  0.995,                0.99328,                0.16341,                0.10918,                0.77641,             7.1388e-05,             7.1388e-05,             7.1388e-05
                     88,                0.29651,                0.22677,                0.96668,                0.99958,                      1,                  0.995,                0.99334,                0.15768,                0.10576,                0.77636,             6.3389e-05,             6.3389e-05,             6.3389e-05
                     89,                0.29384,                0.22163,                0.95652,                0.99952,                      1,                  0.995,                0.99355,                0.15686,                0.10309,                  0.776,             5.5951e-05,             5.5951e-05,             5.5951e-05
                     90,                0.29725,                0.22566,                0.96142,                 0.9995,                      1,                  0.995,                0.99344,                0.16265,                0.10551,                0.77692,              4.908e-05,              4.908e-05,              4.908e-05
                     91,                0.16494,                0.12906,                0.85787,                0.99936,                      1,                  0.995,                 0.9927,                0.15523,                0.10796,                0.77654,             4.2784e-05,             4.2784e-05,             4.2784e-05
                     92,                0.15746,                0.11947,                0.84052,                0.99949,                      1,                  0.995,                0.99261,                0.16125,                0.10493,                0.77728,             3.7068e-05,             3.7068e-05,             3.7068e-05
                     93,                0.15496,                0.11469,                0.84514,                0.99952,                      1,                  0.995,                0.99333,                 0.1637,                0.10527,                0.77726,             3.1939e-05,             3.1939e-05,             3.1939e-05
                     94,                0.15246,                0.11231,                0.83976,                0.99951,                      1,                  0.995,                0.99319,                 0.1705,                0.10796,                0.77895,             2.7402e-05,             2.7402e-05,             2.7402e-05
                     95,                0.15417,                 0.1147,                0.84334,                0.99951,                      1,                  0.995,                0.99327,                0.16253,                0.10492,                0.77685,              2.346e-05,              2.346e-05,              2.346e-05
                     96,                0.15197,                0.11177,                0.83887,                0.99951,                      1,                  0.995,                0.99325,                0.16261,                0.10336,                0.77711,             2.0118e-05,             2.0118e-05,             2.0118e-05
